Day ,IdRFID,IdLabel,Cage,Discard,Stage,Substage,Group 
23,0416D4D943,Bat 55,6,0,Main,Baseline,Strict
24,0416D4EE76,Bat 100,1,0,Main,Baseline,Random
24,041768F274,Bat 110,2,0,Main,Baseline reference,Random
24,04185D008F,Bat 19,3,0,Main,Lockdown,Strict
24,0416ECC22D,Bat 76,4,0,Main,Lockdown,Random
24,0416D4F544,Bat 114,5,0,Main,Baseline reference,Random
24,0416D4D943,Bat 55,6,0,Main,Lockdown,Strict
25,0416D4EE76,Bat 100,1,0,Main,Baseline,Random
25,04185D008F,Bat 19,3,0,Main,Baseline reference,Strict
25,0416ECC22D,Bat 76,4,0,Main,Baseline reference,Random
25,0416D4D943,Bat 55,6,0,Main,Lockdown,Strict
