"Day";"DateTime";"IdRFID";"unitLabel";"eventDuration";"reinforce1value";"reinforce1Account";"outFuncLabel";"outLabel";"SystemMsg";"MsgValue1";"IdLabel";"Cage";"Discard";"Stage";"Substage";"Group"
1;2021-07-28 16:09:26;"04185D008F";"RFID5";1780;NA;NA;"";"";"";"0,68,123,102,102,102,102,51,103,102,101,69,100,101,101,100,100,100";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:09:30;"04185D008F";"RFID5";1292;NA;NA;"";"";"";"0,171,100,100,100,50,199,100,100,132";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:11:00;"04185D008F";"RFID6";3545;NA;NA;"";"";"";"0,129,100,100,101,50,110,99,50,107,50,100,56,100,99,101,60,100,100,100,100,87,100,50,113,101,100,100,50,109,100,100,126,51,116,100,50,110";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:11:08;"04185D008F";"RFID5";2618;NA;NA;"";"";"";"0,120,102,102,102,89,102,102,102,51,103,102,51,107,102,93,102,51,113,102,102,102,102,102,51,102,72";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:11:13;"04185D008F";"RFID5";1921;NA;NA;"";"";"";"0,169,100,100,116,100,52,100,100,100,100,100,100,60,184,50,60,100,100";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:11:20;"04185D008F";"RFID5";1762;NA;NA;"";"";"";"0,50,101,100,100,100,100,59,100,100,102,50,50,121,100,100,100,100,100";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:11:38;"04185D008F";"RFID6";3243;NA;NA;"";"";"";"0,101,100,100,100,59,100,100,100,93,100,100,100,60,100,100,100,60,100,100,85,102,100,100,51,107,101,50,109,100,102,67,126,102";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:11:46;"04185D008F";"RFID5";2813;NA;NA;"";"";"";"0,104,103,103,102,102,51,125,102,102,103,102,58,127,101,100,100,100,50,107,100,100,99,101,50,100,101,100";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:12:07;"04185D008F";"RFID6";2962;NA;NA;"";"";"";"0,139,100,100,101,100,100,59,100,100,127,100,100,100,100,60,100,100,100,60,99,136,50,101,100,170,100,100,100";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:12:12;"04185D008F";"RFID5";1212;NA;NA;"";"";"";"0,131,100,100,50,110,100,124,50,118,100,100";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:12:15;"04185D008F";"RFID5";1829;NA;NA;"";"";"";"0,171,99,51,101,51,102,101,197,101,102,102,54,128,102,102,102";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:13:07;"04185D008F";"RFID6";3074;NA;NA;"";"";"";"0,100,50,109,101,100,86,105,100,101,50,109,101,100,50,109,102,75,100,52,102,101,101,56,102,102,56,102,76,103,102,102";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:13:12;"04185D008F";"RFID5";2288;NA;NA;"";"";"";"0,140,102,104,54,102,103,103,52,102,102,56,84,107,102,102,102,51,104,102,102,102,70,152";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:38:23;"04185D008F";"RFID6";1363;NA;NA;"";"";"";"0,160,100,50,110,100,100,50,110,100,50,164,50,100";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:38:57;"04185D008F";"RFID5";660;NA;NA;"";"";"";"0,100,100,101,100,100";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:42:22;"04185D008F";"RFID5";356;NA;NA;"";"";"";"0,196";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:42:49;"04185D008F";"RFID5";292;NA;NA;"";"";"";"0,101,50";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:43:47;"04185D008F";"RFID6";1672;NA;NA;"";"";"";"0,101,100,100,92,128,100,100,50,110,100,100,50,110,100,109,101";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:52:05;"04185D008F";"RFID6";1632;NA;NA;"";"";"";"0,101,100,100,59,101,100,100,59,100,101,121,100,100,160,100";"Bat 103";3;0;"Training";"Training";"Random"
1;2021-07-28 16:53:33;"04185D008F";"RFID6";296;NA;NA;"";"";"";"0,175";"Bat 103";3;0;"Training";"Training";"Random"
